,Model,Accuracy Score,F1 Score,Recall score,Precision score
0,Gaussian Naive Bayes,0.8,0.7391304347826089,0.68,0.8095238095238095
1,Logistic regression,0.8,0.7272727272727272,0.64,0.8421052631578947
2,Adaboost classifier,0.7333333333333333,0.6190476190476191,0.52,0.7647058823529411
3,Random Forest,0.7666666666666667,0.6818181818181819,0.6,0.7894736842105263
4,LightGBM,0.7833333333333333,0.7111111111111111,0.64,0.8
5,LBGM_classifier with feature selection,0.8,0.7391304347826089,0.68,0.8095238095238095
